                    nu/v	                  E_r/v	               N_theta	                 N_zeta	                   N_xi	                   D_11	                   D_31	                   D_13	                   D_33	           D_33_Spitzer	            t_clock [s]	Delta D11	Delta D31	Delta D13	Delta D33
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.0300000000E+02	1.8000000000E+02	1.3738889094E-02	2.5591652502E-01	-2.5566631268E-01	-3.1358779176E+04	-6.5481537728E+04	1.0396040000E+02	4.9720541670E-08	9.2928059213E-05	-9.1869532060E-05	-4.5988603587E-01
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.0700000000E+02	1.8000000000E+02	1.3738938815E-02	2.5600945308E-01	-2.5575818221E-01	-3.1359239062E+04	-6.5481537728E+04	1.1073440000E+02	-2.6283188225E-06	-1.0612168799E-04	1.0482703470E-04	-6.3803767360E-02
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.1100000000E+02	1.8000000000E+02	1.3736310496E-02	2.5590333139E-01	-2.5565335518E-01	-3.1359302866E+04	-6.5481537728E+04	1.2275480000E+02	-4.9540750526E-07	-3.3016438117E-05	3.0945925750E-05	1.1358580426E-01
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.1500000000E+02	1.8000000000E+02	1.3735815088E-02	2.5587031495E-01	-2.5562240925E-01	-3.1359189280E+04	-6.5481537728E+04	1.3831190000E+02	1.9230101687E-06	4.1868506959E-05	-4.1771230062E-05	7.5638979379E-02
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.1900000000E+02	1.8000000000E+02	1.3737738098E-02	2.5591218346E-01	-2.5566418048E-01	-3.1359113641E+04	-6.5481537728E+04	1.4949000000E+02	1.6402748421E-06	2.0047744843E-05	-1.8808123173E-05	1.9612992983E-02
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.2300000000E+02	1.8000000000E+02	1.3739378373E-02	2.5593223121E-01	-2.5568298861E-01	-3.1359094028E+04	-6.5481537728E+04	1.6754200000E+02	5.7724718868E-07	-9.8714384536E-06	1.0236971391E-05	2.3602977381E-03
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.2700000000E+02	1.8000000000E+02	1.3739955620E-02	2.5592235977E-01	-2.5567275163E-01	-3.1359091667E+04	-6.5481537728E+04	1.8273350000E+02	2.7268248257E-07	-5.3236036898E-06	4.6254313330E-06	2.8221139910E-03
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.3100000000E+02	1.8000000000E+02	1.3740228303E-02	2.5591703616E-01	-2.5566812620E-01	-3.1359088845E+04	-6.5481537728E+04	1.9809370000E+02	1.7136839664E-07	3.0247982747E-06	-3.4493068281E-06	3.9155439190E-03
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.3500000000E+02	1.8000000000E+02	1.3740399671E-02	2.5592006096E-01	-2.5567157551E-01	-3.1359084930E+04	-6.5481537728E+04	2.1534840000E+02	1.8100888379E-07	1.5426374851E-06	-1.3572574915E-06	3.3857821800E-03
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.3900000000E+02	1.8000000000E+02	1.3740580680E-02	2.5592160360E-01	-2.5567293277E-01	-3.1359081544E+04	-6.5481537728E+04	2.3345080000E+02	1.1776905378E-07	-7.7833039752E-07	9.6552889139E-07	2.3517210502E-03
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.4300000000E+02	1.8000000000E+02	1.3740698449E-02	2.5592082527E-01	-2.5567196724E-01	-3.1359079192E+04	-6.5481537728E+04	2.5842930000E+02	7.3391346131E-08	-9.8387558989E-08	6.3155061625E-08	1.5456927795E-03
