                        s                     iota                   psi(s)                  psi'(s)             B_theta_s(s)              B_zeta_s(s)
   0.6285714285714278E+00   0.9131442225550720E+00  -0.1197428571428570E+01   0.3031901665900610E+00  -0.3118165448068311E-15  -0.1408758027834220E+02
   0.6357142857142835E+00   0.9140715433234520E+00  -0.1211035714285710E+01   0.3031901665900610E+00   0.9486769009248164E-16  -0.1408758027836900E+02
   0.6428571428571391E+00   0.9150029394671730E+00  -0.1224642857142850E+01   0.3031901665900610E+00   0.4336808689942018E-18  -0.1408758027837840E+02
   0.6500000000000000E+00   0.9159384199764320E+00  -0.1238250000000000E+01   0.3031901665900610E+00  -0.2851451713636877E-16  -0.1408758027834860E+02
   0.6571428571428556E+00   0.9168779666582650E+00  -0.1251857142857140E+01   0.3031901665900610E+00   0.1870248747537495E-15  -0.1408758027836410E+02
   0.6642857142857113E+00   0.9178215822740760E+00  -0.1265464285714280E+01   0.3031901665900610E+00   0.9671083378570700E-16  -0.1408758027837430E+02
   0.6714285714285722E+00   0.9187692365860100E+00  -0.1279071428571430E+01   0.3031901665900610E+00   0.1285863776567808E-15  -0.1408758027836200E+02
   0.6785714285714278E+00   0.9197209083987740E+00  -0.1292678571428570E+01   0.3031901665900610E+00  -0.2417770844642675E-16  -0.1408758027835280E+02
   0.6857142857142835E+00   0.9206765596026930E+00  -0.1306285714285710E+01   0.3031901665900610E+00  -0.1487525380650112E-15  -0.1408758027835460E+02
   0.6928571428571392E+00   0.9216361523916980E+00  -0.1319892857142850E+01   0.3031901665900610E+00  -0.1308632022190004E-15  -0.1408758027834550E+02
   0.7000000000000000E+00   0.9225996304888290E+00  -0.1333500000000000E+01   0.3031901665900610E+00   0.2602085213965211E-16  -0.1408758027835120E+02
   0.7071428571428556E+00   0.9235669419958630E+00  -0.1347107142857140E+01   0.3031901665900610E+00   0.2634611279139776E-16  -0.1408758027835980E+02
   0.7142857142857113E+00   0.9245380189457030E+00  -0.1360714285714280E+01   0.3031901665900610E+00  -0.1679429165180046E-15  -0.1408758027833940E+02
   0.7214285714285722E+00   0.9255128033867870E+00  -0.1374321428571430E+01   0.3031901665900610E+00   0.2114194236346734E-16  -0.1408758027832650E+02
   0.7285714285714279E+00   0.9264912182609720E+00  -0.1387928571428570E+01   0.3031901665900610E+00  -0.5095750210681871E-17  -0.1408758027833020E+02
   0.7357142857142835E+00   0.9274731834599890E+00  -0.1401535714285710E+01   0.3031901665900610E+00   0.1201296007113939E-15  -0.1408758027829180E+02
   0.7428571428571391E+00   0.9284586206643110E+00  -0.1415142857142850E+01   0.3031901665900610E+00  -0.2582569574860472E-15  -0.1408758027827710E+02
   0.7500000000000000E+00   0.9294474641185519E+00  -0.1428750000000000E+01   0.3031901665900610E+00   0.1843143693225358E-16  -0.1408758027829660E+02
   0.7571428571428557E+00   0.9304396177590960E+00  -0.1442357142857140E+01   0.3031901665900610E+00  -0.3263448539181368E-16  -0.1408758027829760E+02
   0.7642857142857113E+00   0.9314349782342630E+00  -0.1455964285714280E+01   0.3031901665900610E+00  -0.1255506115738214E-15  -0.1408758027829980E+02
